::ffff:76.94.67.134 - - [14/Mar/2016:22:24:12 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:13 +0000] "GET /login HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:13 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:13 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:13 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:13 +0000] "GET /login/index.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:16 +0000] "POST /userLogin/ HTTP/1.1" 200 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:16 +0000] "GET / HTTP/1.1" 200 817 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:17 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:17 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:17 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:17 +0000] "GET /index.js HTTP/1.1" 200 499812 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:18 +0000] "POST /checkLogin HTTP/1.1" 200 248 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:18 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 200 1150 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:18 +0000] "POST /headerOrder HTTP/1.1" 200 302 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:18 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:19 +0000] "GET /schools HTTP/1.1" 200 16262 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:19 +0000] "GET /employers HTTP/1.1" 200 6917 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:19 +0000] "GET /calendar?startDate=2016-03-14T00:00:00-07:00&endDate=2016-04-11T00:00:00-07:00 HTTP/1.1" 200 1596 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [14/Mar/2016:22:24:19 +0000] "GET /assets/loading.gif HTTP/1.1" 200 30375 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:47.88.16.95 - - [14/Mar/2016:23:06:16 +0000] "HEAD http://www.mingjingnews.com/MIB/index.aspx HTTP/1.1" 302 28 "-" "-"
::ffff:47.88.16.95 - - [14/Mar/2016:23:06:17 +0000] "HEAD http://www.mingjingnews.com/login HTTP/1.1" 200 705 "-" "-"
