::ffff:185.49.14.190 - - [12/Apr/2016:01:04:09 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:185.25.151.159 - - [12/Apr/2016:03:16:45 +0000] "GET http://testp5.mielno.lubin.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:141.212.122.161 - - [12/Apr/2016:08:34:07 +0000] "GET / HTTP/1.1" 302 28 "-" "Go http package"
::ffff:141.212.122.161 - - [12/Apr/2016:08:34:07 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80" "Go http package"
::ffff:71.6.135.131 - - [12/Apr/2016:09:25:39 +0000] "GET / HTTP/1.1" 302 28 "-" "-"
::ffff:71.6.135.131 - - [12/Apr/2016:09:25:39 +0000] "GET /robots.txt HTTP/1.1" 302 28 "-" "-"
::ffff:71.6.135.131 - - [12/Apr/2016:09:25:39 +0000] "GET /sitemap.xml HTTP/1.1" 302 28 "-" "-"
::ffff:54.206.99.179 - - [12/Apr/2016:09:57:14 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.2)"
::ffff:185.25.151.159 - - [12/Apr/2016:15:31:42 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:66.249.65.44 - - [12/Apr/2016:17:41:24 +0000] "GET /robots.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.65.44 - - [12/Apr/2016:17:41:24 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.65.47 - - [12/Apr/2016:17:41:24 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.65.47 - - [12/Apr/2016:17:41:25 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:44 +0000] "GET /jbossass/jbossass.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:45 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:45 +0000] "GET /shellinvoker/shellinvoker.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:45 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:45 +0000] "GET /mela/mela.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:45 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:46 +0000] "GET /zecmd/zecmd.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:46 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:46 +0000] "GET /CluJaNuL/cmd.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:46 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:46 +0000] "GET /wstats/wstats.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:46 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:47 +0000] "GET /idssvc/idssvc.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:47 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:47 +0000] "GET /iesvc/iesvc.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:47 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:47 +0000] "GET /bynazi/cmd.jsp HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:54.183.172.14 - - [12/Apr/2016:23:00:47 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
