::ffff:76.94.67.134 - - [01/Mar/2016:16:22:13 +0000] "GET /assets/jquery.min.js HTTP/1.1" 200 84380 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:13 +0000] "GET /login/index.js HTTP/1.1" 200 220270 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:15 +0000] "POST /userLogin/ HTTP/1.1" 200 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:16 +0000] "GET / HTTP/1.1" 200 817 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:16 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:16 +0000] "GET /assets/main.css HTTP/1.1" - - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:16 +0000] "GET /assets/main.css HTTP/1.1" 200 10938 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:16 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:16 +0000] "GET /index.js HTTP/1.1" 200 499812 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:17 +0000] "POST /checkLogin HTTP/1.1" 200 248 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:17 +0000] "POST /headerOrder HTTP/1.1" 200 302 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:17 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 200 1150 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:18 +0000] "GET /employers HTTP/1.1" 200 6917 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:18 +0000] "GET /calendar?startDate=2016-02-29T00:00:00-08:00&endDate=2016-03-28T00:00:00-07:00 HTTP/1.1" 200 1540 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:18 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 200 1150 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:18 +0000] "GET /schools HTTP/1.1" 200 16262 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:18 +0000] "GET /assets/loading.gif HTTP/1.1" 200 30375 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:20 +0000] "GET /visitors?date=2016-02-29T08:00:00.000Z HTTP/1.1" 200 4606 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:20 +0000] "GET /hosts HTTP/1.1" 200 173780 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:20 +0000] "GET /currentmatches?date=2016-02-29T08:00:00.000Z HTTP/1.1" 200 5240 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.67.134 - - [01/Mar/2016:16:22:26 +0000] "GET /calendar?startDate=2016-02-29T00:00:00-08:00&endDate=2016-03-28T00:00:00-07:00 HTTP/1.1" 200 1540 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:198.7.63.148 - - [01/Mar/2016:18:51:49 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:91.196.50.33 - - [01/Mar/2016:20:58:59 +0000] "GET http://testp2.czar.bielawa.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:185.112.248.32 - - [01/Mar/2016:22:22:49 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)"
::ffff:185.112.248.32 - - [01/Mar/2016:22:22:49 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)"
::ffff:76.94.206.164 - - [01/Mar/2016:22:50:59 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.206.164 - - [01/Mar/2016:22:50:59 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.206.164 - - [01/Mar/2016:22:50:59 +0000] "GET /assets/main.css HTTP/1.1" 200 10938 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.206.164 - - [01/Mar/2016:22:50:59 +0000] "GET /assets/default.css HTTP/1.1" 200 5944 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.206.164 - - [01/Mar/2016:22:50:59 +0000] "GET /assets/jquery.min.js HTTP/1.1" 200 84380 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.94.206.164 - - [01/Mar/2016:22:50:59 +0000] "GET /login/index.js HTTP/1.1" 200 220270 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
