::ffff:156.42.184.102 - - [20/Feb/2016:19:03:55 +0000] "GET /index.js HTTP/1.1" 200 499812 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:03:57 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 200 1150 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:57 +0000] "GET /checkLogin HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:57 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:03:57 +0000] "POST /checkLogin HTTP/1.1" 200 248 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:03:58 +0000] "GET /assets/loading.gif HTTP/1.1" 200 30375 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:58 +0000] "GET /calendar?startDate=2016-02-15T00:00:00-07:00&endDate=2016-03-14T00:00:00-07:00 HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:58 +0000] "GET /headerOrder HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:58 +0000] "GET /schools HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:58 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
